text_id,category,grade_id,body,body_line2
t_mana,DAILY,g_mid,버려진 정수처리소에서 깨끗한 물 한 모금을 마셨다. 체력이 차오른다.,
t_storm,DAILY,g_bad,갑작스런 폭풍우에 휩쓸려 방벽 잔해에 부딪히고 말았다.,
t_weapon,DAILY,g_mid,버려진 공구함에서 쓸만한 장비를 손봤다. 다음 조우가 조금은 수월해질 것 같다.,
t_unicorn,DAILY,g_mid,다친 새끼 여우를 치료해줬다. 여우는 고맙다는 듯 코를 비비고 떠났다.,
t_ruin,DAILY,g_jackpot,인간들이 버리고 간 낡은 연구소 잔해를 발견했다. 벽면 가득 오염 관련 기록이 남아있다.,한때는 이 구역도 사람들로 북적였을 것이다.
t_luckybox,DAILY,g_jackpot,운이 정말 좋다! 무지개 조각이 가득한 상자를 발견했다.,상자를 열자 눈부신 빛이 퍼져 나왔다.
t_mythslot,DAILY,g_jackpot,다친 이를 도왔더니 놀랍게도 무지개의 수호정이었다. 그가 감사의 표시로 잠든 힘을 시험할 기회를 주었다.,
t_waterblessing,DAILY,g_jackpot,정수처리소 깊은 곳에서 아직 살아있는 물줄기를 만났다.,맑은 물이 몸을 감싸며 힘이 차오른다.
t_potion,DAILY,g_mid,버려진 상자에서 아직 쓸만한 응급 키트를 발견했다.,
t_fairy,DAILY,g_mid,무너진 배수로에 갇혀 있던 작은 새를 구해줬다. 새는 감사하다는 듯 반짝이는 조각을 물어다 줬다.,
t_virus,DAILY,g_mid,오염된 공기를 마시고 한동안 앓았지만 이겨내고 나니 오히려 몸이 단단해졌다.,
t_oldbook,DAILY,g_mid,버려진 항해 일지에서 옛 승무원의 요령을 익혔다.,
t_hotspring,DAILY,g_mid,따뜻한 배수관 옆에서 몸을 녹이니 피로가 풀렸다.,
t_music_box,DAILY,g_bad,낡은 라디오에서 흘러나오는 잔잔한 소리에 그만 잠들어 버렸다.,
t_trap,DAILY,g_bad,무너진 배관 사이를 지나다 발을 헛디뎌 깊은 구멍에 빠지고 말았다.,
t_fog,DAILY,g_bad,짙은 오염 안개를 간신히 헤쳐 나왔다.,
t_thunder,DAILY,g_bad,무너진 송전탑에서 스파크가 튄다. 서둘러 피해야 할 것 같다.,
t_fog2,DAILY,g_bad,오염 안갯속에서 방향을 잃고 헤매다 무언가에 부딪혀 다쳤다.,
t_cliff,DAILY,g_bad,무너진 고가도로에서 발을 헛디뎌 크게 굴러떨어졌다.,
t_poisonberry,DAILY,g_bad,오염된 물을 잘못 마셔 온몸에 힘이 빠졌다.,
t_merchant,DAILY,g_mid,떠돌이 정비공을 만났다. 낡은 기계를 손봐 5회 무료로 돌려준다고 한다.,
